"","tag","group","esd","esd.min","esd.max","opt","mean.D","mean.m","mean.m.sd","m","a","s","a.sd","s.sd","stiffness","opt.min","opt.max","r2"
"1","Jellyfish - tentacled","Jellyfish",5750.65946630712,400,99297.5326984513,1343.26663462493,8.74574489692252,-2.0588534678292,0.310688511540306,3.8555988794185,0.386650553216226,0.985578839542085,0.0860728633278459,0.810785611415659,0.989949493661167,282.842712474619,15811.3883008419,0.340985097625534
"2","Invertebrate - swimming predacious","Invertebrate",1899.78334965377,97,594471.932086806,822.144960115244,7.24643599953853,-1.18676748475317,0.0988426016962343,-0.539307275523981,0.960491248567444,0.771464674892745,0.0515980596352485,0.502475979784,0.3,4,113718.38961718,0.630582283915501
"3","Fish - predacious","Fish",10925.9820102234,1133.18726137329,549874.233492725,765.28918777421,10.245245648996,-2.01733896262543,0.104690433646933,-3.0932048233215,1.04673238316332,-0.0951420500868368,0.0975948174878019,0.98012421815888,0.608276253029822,109.941569873093,39207.1880625379,0.839453290627105
"4","Plankton - Dinoflagellates","Plankton",22.1537290685903,6,81,13.2002884877546,3.04669732518483,-0.727057337681369,0.0809822874713066,-0.0717456684054972,0.856029488627061,0.64267080139987,0.109577704405976,0.460771579293948,0.519615242270663,4,59.5,0.480431763342398
"5","Fish - planktivorous","Fish",2828.46467765669,1264.55707802187,17126.7710401857,152.100578195309,10.245245648996,-2.01733896262543,0.104690433646933,0.92988312995005,0.515214139007531,-1.37966634391461,0.399571516549396,2.93964378083065,0.608276253029822,60.3852690444299,2983.12917357501,0.142557904467698
"6","Fish - piscivorous","Fish",95963.0754470546,6070.82746440422,638163.39983239,18786.7513055483,10.245245648996,-2.01733896262543,0.104690433646933,4.53410756667193,0.462598475809275,1.41036229111297,0.100669254311558,1.05373719643172,0.608276253029822,3235.09501343686,53991.7118420953,0.351255836020455
"7","Mammals - Zooplankton","Mammals",1561949.99442448,267300.923514395,6714295.62905789,6170.69090177429,13.9763636311621,-3.1915110759592,0.247929583503121,14.4255418051413,-0.399537037037037,-1.53200944185565,0.3268554174997,3.36532691671637,2.05426385841741,533.335459444652,31164.9996174102,0.157378457694537
"8","Mammals - Fish","Mammals",1195164.84359361,392344.099769132,4939319.57366866,67540.5451647835,13.9763636311621,-3.1915110759592,0.247929583503121,9.42967645728065,0.120825476379516,0.761736810745855,0.174408200113366,2.00054433647152,2.05426385841741,6218.23492826382,621823.492826381,0.012805141810012
"9","Plankton - Ciliates","Plankton",39.4694778114444,17,130,5.12433164810562,3.04669732518483,-0.727057337681369,0.0809822874713066,-1.50262578543932,0.853381114861753,-0.830197869163174,0.213219128687839,0.770252878073472,0.519615242270663,1.4543039572249,16.062378404209,0.571718246524685
"10","Invertebrate - Meroplankton","Invertebrate",262.398983565383,99,1700,5.86525365417104,7.24643599953853,-1.18676748475317,0.0988426016962343,-2.22983432902742,0.717949036346549,-2.51547458926007,0.174570018995036,1.12724636161518,0.3,2.9,24.4948974278318,0.470959312379028
"11","Plankton - Flagellate","Plankton",4.52728256759082,2.5,10,1.11915905792672,3.04669732518483,-0.727057337681369,0.0809822874713066,-1.50852866570571,1.07349363265104,-0.000341719468660517,0.274653582460496,0.745745278884218,0.519615242270663,0.396862696659689,2.41453929352993,0.718000849915212
"12","Invertebrate - sessile herbivorous","Invertebrate",314.48215389888,66,2400,6.55048171904625,7.24643599953853,-1.18676748475317,0.0988426016962343,0.65904095063952,0.212226232592589,-3.30962207974882,0.151584639238437,1.01904794854811,0.3,2.82842712474619,19.3649167310371,0.109138492758152
"13","Jellyfish - Salp","Jellyfish",9899.1550251648,1480,70710.6781186548,27.2937784121628,8.74574489692252,-2.0588534678292,0.310688511540306,2.63426941218524,0.0730841747897056,-3.01190728078861,0.610030507433617,3.8564417799072,0.989949493661167,7.874007874012,1927.57321040705,0.00238646280307974
"14","Mammals - Benthic Invertebrate","Mammals",598412.227830515,363357.218667025,845279.738971949,13920.8939784882,13.9763636311621,-3.1915110759592,0.247929583503121,18.8698461224797,-0.701298701298703,-1.23755933056902,3.44825371777397,27.4838915125056,2.05426385841741,1240.7009817988,72499.2965278222,0.02026224177107
"15","Mammals - Mammal","Mammals",889657.166407463,533335.459444651,1821099.99242226,412942.276934046,13.9763636311621,-3.1915110759592,0.247929583503121,43.8846111102017,-2.25961538461541,1.9671678169685,1.98186582789131,16.4558074084898,2.05426385841741,57588.2382296972,2673009.23514395,0.565204486838341
