#,Species reported name,"Equivalent spherical diameter (ESD, um)","Optimal prey, taxa","Optimal prey size, (OPS, um)","Specialization factor, s"
1,Gyrodinium spirale,28,Dinophyta,32,0
2,Amphidinium carterae,6.6,,,
3,Prorocentrum minimum,12.1,Cryptophyta,5.6,-1
4,Prorocentrum triestinum,12.6,Cryptophyta,5.6,-1
5,Gymnodinium impudicum,17.8,,,
6,Scrippsiella trochoidea,22.8,,,
7,Alexandrium tamarense,28.1,,,
8,Akashiwo sanguinea,30.8,Dinophyta,12.1,0
9,Gymnodinium catenatum,33.9,Cryptophyta,5.6,-1
10,Karlodinium armiger,14.9,Cryptophyta,9.8,0
11,Gyrodinium instriatum,62,,small,0
12,Gyrodinium instriatum,62,,large,0
13,Yihiella yeosuensis,7.8,Cryptophyta,5.6,-1
14,Ansanella granifera,10.5,Cryptophyta,5.6,-1
15,Prorocentrum donghaiense,13.2,Cryptophyta,5.6,-1
16,Heterocapsa triquetra,15,Cryptophyta,5.6,-1
17,Prorocentrum micans,26.6,Cryptophyta,5.6,-1
18,Amylax triacantha,30,Ciliate,22,0
19,Lingulodinium polyedrum,36.6,Dinophyta,25.1,0
20,Gymnodinium smaydae,10.5,Dinophyta,9.5,0
21,Symbiodinium sp.,11.1,Dinophyta,11.5,0
22,Paragymnodinium shiwhaense,12.4,Dinophyta,9.7,0
23,Woloszynskia cincta,13.4,Raphidophyta,11.5,0
24,Gyrodinium auroleum,19.4,Cryptophyta,5.6,0
25,Gymnodinium gracilentum,9.1,Cryptophyta,8.5,-1
26,Gyrodinium galatheanum,11,Cryptophyta,5.6,-1
27,Karlodinium veneficum,11,Cryptophyta,6.6,0
28,Paragymnodinium shiwhaense,12.4,Dinophyta,6.6,0
29,Karlodinium armiger,16.7,Cryptophyta,10.7,0
30,Cochlodinium polykrikoides,25.8,Cryptophyta,5.6,-1
31,Ceratium furca,29,,,
32,Gonyaulax polygrama,32.5,Cryptophyta,5.6,-1
33,Dinophysis acuminata,35,Ciliate,22,0
34,Fragilidium subglobosum,45,Dinophyta,59.5,0
35,Dinophysis norvegica,45,,,0
36,Dinophysis acuta,48.5,,,0
37,Fragilidium cf. mexicanum,54.5,Dinophyta,37.9,0
38,Gymnodinium sp.,6,Cryptophyta,8,-1
39,Protoperidinium bipes,7.8,Diatom,5.9,
40,Protoperidinium hirobis,8.7,Diatom,19.7,1
41,Luciella masanensis,13.5,Blood cells,6.1,0
42,Pfiesteria piscicida,13.5,Blood cells,6.1,0
43,Stoeckeria algicida,13.9,Raphidophyta,11.5,0
44,Oxyrrhis marina,15.6,Raphidophyta,11.5,0
45,Gyrodinium dominans,20,Diatom,5.4,
46,Protoperidinium vorax,21,Diatom,4,
47,Oblea rotundata,21.6,Diatom,33,1
48,Protoperidinium steinii,25.8,Dinophyta,15,1
49,Protoperidinium huberi,26.5,Diatom,26.5,1
50,Diplopsalis lenticula,31,Diatom,35.2,1
51,Gyrodinium spirale,31.8,Dinophyta,12.1,0
52,Protoperidinium excentricum,35.8,Diatom,35.2,1
53,Protoperidinium pellucidum,36.1,Diatom,26.5,1
54,Polykrikos kofoidii,43.5,Dinophyta,34,0
55,Polykrikos kofoidii,43.5,Dinophyta,37.9,0
56,Protoperidinium spiniferum,45,Diatom,19.7,1
57,Protoperidinium conicum,45.7,Diatom,35.2,1
58,Protoperidinium pallidum,46.6,Diatom,35.2,1
59,Zygabikodinium lenticulatum,50,Diatom,35.2,1
60,Protoperidinium divergens,61,Dinophyta,38.2,1
61,Protoperidinium crassipes,73,Dinophyta,36.6,1
62,Protoperidinium depressum,81,Diatom,35.2,1
63,Gyrodinium moestrupii,18.4,Dinophyta,21.9,0
64,Gyrodinium dominans,20,Dinophyta,12.1,0
65,Takayama helix,27.4,Dinophyta,20.4,0
66,Takayama helix,27.4,Dinophyta,31.2,0
67,Oxyrrhis marina,15.6,Dinophyta,9.1,0
68,Takayama helix,27.4,Dinophyta,15,0
69,Gyrodinium dominans,25,Dinophyta,10.9,0
70,Gyrodinium fusiforme,16.1,Dinophyta,10.9,0
71,Katodinium glaucum,21.5,Dinophyta,10.9,0
72,Alexandrium andersonii,14.9,Cryptophyta,5.6,-1
73,Alexandrium pohangense,32,Dinophyta,25.8,0
74,Alexandrium pseudogonyaulax,35.4,Dinophyta,9.5,0
75,Noctiluca scintillans,225,Non-alive,80,
76,Noctiluca scintillans,225,Diatom,12.8,0
77,Lingulodinium polyedra,36.6,Dinophyta,12.1,0
78,Takayama tasmanica,24.3,Dinophyta,21.9,0
79,Heterocapsa steinii,25,Dinophyta,10.9,1
